Zip,Unemp. Rate,# in sample
2558,0.00,1205
2559,0.08,3152
2561,0.00,359
2562,0.07,2764
2563,0.04,8255
2564,0.00,216
2568,0.08,3277
2571,0.10,9387
2575,0.02,1893
2576,0.13,2930
2584,,0
2601,0.09,11402
2630,0.00,1664
2631,0.06,8280
2632,0.05,9715
2633,0.06,3694
2635,0.10,2877
2637,0.00,96
2638,0.09,2906
2639,0.09,2659
2641,0.04,509
2642,0.10,4607
2643,,9
2644,0.07,3061
2645,0.08,7767
2646,0.11,1542
2647,0.00,115
2648,0.05,6328
2649,0.04,11539
2650,0.06,830
2651,,0
2652,0.12,1240
2653,0.04,5469
2655,0.09,3035
2657,0.13,2943
2659,0.06,849
2660,0.06,4900
2663,0.00,49
2664,0.08,8140
2666,0.06,475
2667,0.06,2582
2668,0.08,2640
2669,0.00,80
2670,0.10,1181
2671,0.21,1070
2672,0.00,109
2673,0.08,7464
2675,0.04,5610
2702,0.04,3239
2703,0.08,34727
2713,0.00,140
2715,0.07,2278
2717,0.08,3908
2718,0.10,5431
2719,0.08,13419
2720,0.12,26074
2721,0.15,20362
2723,0.15,11881
2724,0.17,13922
2725,0.13,2502
2726,0.07,12810
2738,0.07,4177
2739,0.05,4957
2740,0.11,34607
2743,0.11,8554
2744,0.08,9211
2745,0.08,20506
2746,0.19,10584
2747,0.08,17816
2748,0.05,10613
2760,0.09,20405
2762,0.06,6346
2763,0.06,1389
2764,0.07,3348
2766,0.11,15292
2767,0.06,10271
2769,0.12,9300
2770,0.04,4022
2771,0.06,11049
2777,0.10,13448
2779,0.09,4783
2780,0.09,39267
2790,0.11,13077
2791,,29
2802,0.00,422
2804,0.05,2299
2806,0.06,12546
2807,0.06,829
2808,0.05,2161
2809,0.06,19849
2812,0.09,1294
2813,0.07,6687
2814,0.06,6043
2815,0.15,218
2816,0.12,26363
2817,0.11,4710
2818,0.04,14562
2822,0.05,5187
2825,0.11,4365
2826,0.00,375
2827,0.08,1771
2828,0.05,6350
2830,0.07,5768
2831,0.11,2524
2832,0.04,4277
2833,0.00,398
2835,0.03,4512
